新闻id,时间,标题,内容,链接
3cffbec7689884c2,2026-05-30 13:23:32,Circle发布后量子安全白皮书,Circle发布《后量子安全白皮书》，围绕Arc区块链生态的长期安全性提出分阶段后量子韧性路线图。据Foresight News报道，该路线图涵盖量子安全签名、私有执行环境、验证器加固、基础设施迁移及账户恢复等技术方向，适用范围包括Arc网络、USDC、智能合约及验证器等核心组件，并计划在Arc主网上线时（2026年）提供后量子签名支持。,https://www.binance.com/zh-CN/square/post/328611483066369
d98e5ab248733ad0,2026-05-30 13:17:14,Fidelity以太坊ETF单日净流入超千万,Ethereum现货ETF昨日净流出总额为1791.12万美元，连续第14天出现净流出。据NS3报道，Fidelity的FETH单日净流入达1053.37万美元，为最大单日净流入；而BlackRock的ETHA则出现4071.73万美元的最大单日净流出。,https://www.binance.com/zh-CN/square/post/328609934950689
8f437996180a0049,2026-05-30 13:17:08,Swan Bitcoin CEO称比特币ETF净流出29亿美元,Swan Bitcoin CEO Cory Klippsten表示，零售情绪对比特币仍然重要。据NS3报道，Farside数据显示，自5月15日以来，美国现货比特币ETF净流出29亿美元。Klippsten将今年创下历史新高的概率下调至20%至25%。,https://www.binance.com/zh-CN/square/post/328609910090338
ad85ee8fda0613d7,2026-05-30 12:42:09,美国参议员称数字资产立法或推迟至2030年,美国参议员Cynthia Lummis表示，如果国会现在不采取行动，数字资产立法可能要到2030年才会有机会。据NS3报道，她指出，CLARITY法案旨在为开发者提供法律保护，并为执法部门提供更多工具。,https://www.binance.com/zh-CN/square/post/328601312584146
b0f83995526242bc,2026-05-30 12:27:32,Tristan Thompson 开设 HYPE 50 倍空头仓位,Tristan Thompson 表示，他在 HYPE 上以 66.95 美元的入场价开设了 50 倍空头仓位。据 NS3 报道，他将止损设在接近 68 美元的位置，同时表示在更长时间框架内仍看好 HYPE。,https://www.binance.com/zh-CN/square/post/328597717589474
6e5e15fc485e2e38,2026-05-30 12:23:38,NBA球星特里斯坦·汤普森做空HYPE,据Odaily星球日报报道，NBA球星特里斯坦·汤普森今晨在社交平台表示，其已建立HYPE空头仓位。该笔交易为短线看空操作，其以50倍杠杆在66.95美元价格做空HYPE，止损位设于68美元附近。特里斯坦·汤普森表示，其对HYPE更高时间周期走势仍保持看多观点，但预计短期内可能出现回调，因此选择进行日内或短周期做空交易。,https://www.binance.com/zh-CN/square/post/328596762525505
aa0c5d119d22ccd3,2026-05-30 12:03:53,Bitdeer一周内开采并售出206.2枚BTC,Bitdeer在截至5月29日的一周内开采并售出206.2枚BTC。据NS3报道，这家在纳斯达克上市的比特币矿业公司表示，其比特币持有量保持为零。,https://www.binance.com/zh-CN/square/post/328591907230882
a1dd5232bcda854f,2026-05-30 12:03:47,伊朗称霍尔木兹海峡需特别措施,伊朗外交部发言人巴盖伊表示，自3月1日起，霍尔木兹海峡在伊朗的特别措施下运作。据NS3报道，商船需与伊朗当局协调才能通行。巴盖伊拒绝西方的最后通牒式言论，并称美国的海军封锁是非法的。他表示，伊朗和阿曼应共同管理该水道的未来。,https://www.binance.com/zh-CN/square/post/328591884125506
7e7924964673940a,2026-05-30 11:43:37,Grayscale 提交 Hyperliquid Staking ETF 第五次修订,据 ChainCatcher 报道，彭博高级 ETF 分析师 James Seyffart 披露，Grayscale Investments 已向美国 SEC 提交 Hyperliquid Staking ETF 的第五次修订文件，基金代码为 HYPG。文件显示，该 ETF 计划以约 200 万枚 HYPE 代币作为种子资产。截至目前，文件中仍未披露管理费率等关键信息。James Seyffart 表示，本次修订主要是针对 SEC 潜在意见进行的小幅调整，与前一日提交的版本相比未发现实质性变化。,https://www.binance.com/zh-CN/square/post/328586925841905
d0716c98b2a68772,2026-05-30 11:23:34,特朗普健康状况极佳,据Odaily星球日报报道，白宫备忘录显示，美国总统特朗普健康状况极佳，心脏、肺、神经系统及整体身体机能均表现强健。,https://www.binance.com/zh-CN/square/post/328581997862353
